;StructID;ClusterID;ClosestToCenter;Energy;LowEne;AptaMat;Bp;MfeDist;Probability;Structure
2995;6498;5;0;-4.396;0;3.22;14;26;1.2e-05;...........((((...........))))......((.(((.........(((((......)))))))).)..).
2996;6527;5;0;-4.398;0;2.86;19;22;1.2e-05;......(.((.((((.(((....)))))))..))..)(.(((.........(((((......)))))))).)....
2997;6528;5;0;-4.398;0;3.67;18;26;1.2e-05;..(.....)..((((.((......)))))).....(((.(((.........(((((......))))))))...)))
2998;6547;5;0;-4.392;0;3.65;16;20;1.2e-05;(...)......((((.(((....))))))).........(((.........(((((......))))))))......
2999;6550;5;0;-4.392;0;3.61;18;24;1.2e-05;..((....((.((((.(((....)))))))..))))...(((.........((((........)))))))......
3000;6563;5;0;-4.393;0;3.64;15;22;1.2e-05;...(...)...(((..(((....))).))).........(((.........(((((......))))))))......
3001;6575;5;0;-4.394;0;2.71;17;21;1.2e-05;...........((((.(((....)))))))......((.(((........(.((((......))))))))...)).
3002;6584;5;0;-4.388;0;4.32;13;28;1.2e-05;...........((((.(((....))))))).......(.(((.........((...)).........))).)....
3003;6612;5;0;-4.383;0;4.0;19;24;1.2e-05;..((...))..((((.(((....)))))))......((.(((.........(((((......)))))))).)..).
3004;6634;5;0;-4.386;0;2.74;17;23;1.2e-05;...........((((..((....)).)))).....(((.(((.........(((((......)))))))).)..))
3005;6647;5;0;-4.379;0;4.35;13;29;1.2e-05;..(.....)..(((.............))).......(.(((.........(((((......)))))))).)....
3006;6648;5;0;-4.379;0;3.44;16;19;1.2e-05;...........((((.(((....))))))).........(((.........(((((......)))))))).(...)
3007;6655;5;0;-4.379;0;3.68;16;23;1.2e-05;..(.....)(.((((..((....)).))))..)......(((.........(((((......))))))))......
3008;6684;5;0;-4.382;0;4.43;17;36;1.2e-05;..(.....)..((((((....))))...))......((.(((.........(((((......))))))))...)).
3009;6688;5;0;-4.382;0;5.13;13;38;1.2e-05;..(.....).....(((....))).............(.(((.........(((((......)))))))).)....
3010;6711;5;0;-4.377;0;2.89;17;24;1.1e-05;.........(.((((.(((....)))))))..)...((.(((.........((((........)))))))...)).
3011;6715;5;0;-4.378;0;4.24;16;30;1.1e-05;..(.....)..((((.(((....))))))).......(.(((.....((..((........))..))))).)....
3012;6722;5;0;-4.378;0;3.72;18;24;1.1e-05;..(((....(.((((.(((....)))))))..))))...(((.........((((........)))))))......
3013;6724;5;0;-4.379;0;3.69;17;23;1.2e-05;..(((......((((.(((....)))))))...)))...(((.........((((........)))))))......
3014;6729;5;0;-4.372;0;2.59;16;19;1.1e-05;...........((((.(((....)))))))......(..(((.........(((((......))))))))....).
3015;6755;5;0;-4.374;0;3.72;18;25;1.1e-05;..(((...(..((((.(((....))))))).).)))...(((.........((((........)))))))......
