,Suboptimal proxy structure,Base pair,Energy (kcal/mol),MFE distance,Probability
144,..(.....)..((((.(((....)))))))....(.....)...........((((......)))).,13,-6.429,7,0.000838
145,.......(((.(..(((((.............................)))))..).))).......,9,-6.427,36,0.000836
146,...........((((..((....)).))))..........((.....))...(((........))).,11,-6.418,4,0.000824
147,...(...)...((((.(((....)))))))......((....))........((((......)))).,14,-6.408,10,0.000810
148,.....(((((.(..(((((..........((((.......))))....)))))..).)))....)).,15,-6.405,43,0.000806
149,...........((((.(((....)))))))..........(((...)))...(((.((...))))).,15,-6.393,7,0.000790
150,...........((((.(((....)))))))..........(((...)))...((((.(...))))).,15,-6.393,4,0.000790
151,..............(((....)))................((.....))...((((......)))).,9,-6.382,17,0.000775
152,...........(((.............)))..........((.....))...((((......)))).,9,-6.379,8,0.000771
153,...........((((.(((....)))))))..........((.....))....(((......)))..,12,-6.377,2,0.000768
154,...........((((.(((....)))))))......((....))........(((.((...))))).,14,-6.373,13,0.000763
155,...........((((.(((....)))))))......((....))........((((.(...))))).,14,-6.373,10,0.000763
156,...........((((...........))))....(.....)...........((((......)))).,9,-6.37,11,0.000760
157,.........(.((((...........))))..)...................((((......)))).,9,-6.362,12,0.000749
158,..((...))..((((.(((....)))))))....(.....)...........((((......)))).,14,-6.357,9,0.000743
159,..(.....)..(((..(((....))).)))..........((.....))...((((......)))).,13,-6.356,4,0.000742
160,....((..((.((((.(((....)))))))..))..))..(((...)))...((((......)))).,18,-6.341,10,0.000723
161,...........((((((....))))...))......................((((......)))).,10,-6.335,17,0.000716
162,...........((((..((....)).)))).............((.....))((((......)))).,12,-6.332,10,0.000713
163,..(.....)..((((.(((....)))))))..(...)...(((...)))...((((......)))).,16,-6.322,6,0.000700
164,...........((((((....)))...)))......................((((......)))).,10,-6.321,15,0.000700
165,.....(....)((((.(((....)))))))..........((.....))...((((......)))).,14,-6.321,2,0.000699
166,..(.....)..((((.((......))))))..........((.....))...((((......)))).,13,-6.318,4,0.000696
167,...((..(((.(..(((((..........((((.......))))....)))))..).))).))....,15,-6.316,44,0.000693
168,..(.....)..((((.(((....))))))).......((.....))......((((......)))).,14,-6.313,10,0.000690
169,.....(..((.((((...........))))..))..)...((.....))...((((......)))).,13,-6.31,12,0.000686
170,...........((((.(((....))))))).((.......))..........((((......)))).,13,-6.306,6,0.000682
171,.....(..((.((((..((....)).))))..))..)...(((...)))...((((......)))).,16,-6.304,10,0.000679
172,.......(((.(..(((((...(...)..((((.......))))....)))))..).))).......,14,-6.299,42,0.000673
173,..((...))..(((..(((....))).)))..........((.....))...((((......)))).,14,-6.285,6,0.000658
174,...........((((.(((....))))))).......(....).........((((......)))).,12,-6.281,6,0.000653
175,......(.((.((((...........))))..))..)...((.....))...((((......)))).,13,-6.267,12,0.000639
176,...((.....))..(((....))).....((((.......))))........((((......)))).,13,-6.263,29,0.000634
177,...........((((...........))))..(...)...(((...)))...((((......)))).,12,-6.263,10,0.000634
178,.......(((.((.(((((........(((..(...)..)))......))))).)).))).......,14,-6.262,39,0.000633
179,......(.((.((((..((....)).))))..))..)...(((...)))...((((......)))).,16,-6.261,10,0.000632
180,.............((((....))))..(((.........)))..........((((......)))).,11,-6.261,22,0.000632
181,...........((((...........)))).......((.....))......((((......)))).,10,-6.255,14,0.000625
182,...........((((..(......).))))..........(((...)))...((((......)))).,12,-6.253,6,0.000624
183,..((...))..((((.(((....)))))))..(...)...(((...)))...((((......)))).,17,-6.25,8,0.000621
184,..((...))..((((.((......))))))..........((.....))...((((......)))).,14,-6.247,6,0.000617
185,..(.....)..((((.(((....)))))))..........((.....))...(((........))).,13,-6.244,4,0.000614
186,............(((((....)))).)..((((.......))))........((((......)))).,13,-6.244,26,0.000614
187,............(((((....))).))..((((.......))))........((((......)))).,13,-6.244,26,0.000614
188,..............(((....))).....(((.........)))........((((......)))).,10,-6.243,25,0.000613
189,..((...))..((((.(((....))))))).......((.....))......((((......)))).,15,-6.242,12,0.000612
190,..........(..(((......))).)..((((.......))))........((((......)))).,12,-6.241,26,0.000611
191,...........((((.(((....)))))))(((.......))).........((((......)))).,14,-6.236,8,0.000605
192,......((((.((((.(((....)))))))....(((..((..(((...)))..)).)))..)))).,19,-6.236,29,0.000605
193,.......(((.((.(((((........(((.........)))......)))))).).))).......,13,-6.233,37,0.000603
194,...........((((..(......).))))......((....))........((((......)))).,11,-6.232,12,0.000602
195,...........((((..((....)).))))......(......)........((((......)))).,11,-6.23,8,0.000600
196,........((.((((...........))))..))......((.....))...((((......)))).,12,-6.23,10,0.000599
197,.......(((.((..((((..........((((.......))))....))))..)).))).......,13,-6.229,41,0.000598
198,........((.((((..((....)).))))..))......(((...)))...((((......)))).,15,-6.224,8,0.000593
199,.......(((.(..(((((..(.....(((.........)))...)..)))))..).))).......,13,-6.218,39,0.000588
200,..((....((.((((.(((....)))))))..))))................((((......)))).,15,-6.217,12,0.000586
201,...........((((((....))...))))..........((.....))...((((......)))).,12,-6.207,9,0.000577
202,..(((......((((.(((....)))))))...)))................((((......)))).,14,-6.203,10,0.000573
203,..(((....(.((((.(((....)))))))..))))................((((......)))).,15,-6.203,12,0.000573
204,..........((((.....)).)).....((((.......))))........((((......)))).,12,-6.203,27,0.000573
205,........((.((((..((....)).))))..))..((....))........((((......)))).,14,-6.203,14,0.000573
206,.......(.(.((((.(((....)))))))....).)...((.....))...((((......)))).,15,-6.199,4,0.000569
207,..(((...(..((((.(((....))))))).).)))................((((......)))).,15,-6.199,12,0.000569
208,........((...((((....)))).)).((((.......))))........((((......)))).,14,-6.192,28,0.000562
209,...........((((...........))))..........((.....))...(((........))).,9,-6.186,8,0.000557
210,.......(((.((.(((((.....((.(((.........)))..))..))))).)).))).......,15,-6.186,39,0.000556
211,..........(..((((....)))).).............((.....))...((((......)))).,11,-6.18,18,0.000551
212,...........((((..((....)).))))..........(((...)))...(((........))).,12,-6.18,6,0.000551
213,..((...))..((((.(((....)))))))..........((.....))...(((........))).,14,-6.173,6,0.000545
214,...........((((..((....)).))))..(...)...............((((......)))).,11,-6.173,8,0.000544
215,...((........((((....))))))..((((.......))))........((((......)))).,14,-6.171,28,0.000543
