,Suboptimal proxy structure,Base pair,Energy (kcal/mol),MFE distance,AptaMat,Probability
123,.......((.(((......))).))......((.((....)).))..(((....)))...(.(......).)....,14,-5.236,22,0,0.000632
124,.......((.(((......))).))..((((.......)))).....(((....))).....(.........)...,13,-5.233,20,0,0.000628
125,.......((.(((......))).)).....(((.(((.((......))..))).)))............(....).,14,-5.23,27,0,0.000626
126,.......((.(((......))).)).....((((((.((........(((....))).......))...)))))).,16,-5.229,10,0,0.000624
127,.......((.(((......))).))....((.......)).......(((....)))..........(.....)..,11,-5.204,16,0,0.000598
128,...(((.((.(((......))).)).....))).....(....)...(((....)))...................,12,-5.192,18,0,0.000586
129,.......((.(((......))).)).......((...(((.......(((....)))...........)))))...,13,-5.18,4,0,0.000575
130,.......((.(((......))).))...(((.......)))......(((....)))............(....).,12,-5.176,17,0,0.000571
131,.......((.(((......))).))..((((.......)))).....(((....))).....(((...)..))...,15,-5.175,22,0,0.000570
132,.......((.(((......))).)).............(....)...(((....)))...(.(......).)....,11,-5.173,17,0,0.000568
133,.......((.(((......))).)).....(((....(((.(.....(((....))).........).))).))).,15,-5.172,4,0,0.000567
134,.......((.(((......))).)).....(((.(((.((......))..))).)))..........((...))..,15,-5.14,28,0,0.000537
135,.......((.(((......))).))....((.......)).......(((....)))..(.((.(...).))..).,14,-5.136,19,0,0.000534
136,.......((.(((......))).)).....(((((.((.........(((....))).......))....))))).,15,-5.124,10,0,0.000523
137,.......((.(((......))).))......................(((....))).....((.......))...,10,-5.124,16,0,0.000523
138,.......((.(((......))).))..(((.........))).....(((....)))...................,11,-5.121,19,0,0.000520
139,.......((.(((......))).))..((((.......)))).....(((....))).............(...).,13,-5.118,19,0,0.000518
140,...........((((....)))).......((((...(((....((((((....)))........)))))))))).,17,-5.117,19,0,0.000516
141,...........((((....)))).......(((....(((.......(((....)))...........))).))).,13,-5.112,15,0,0.000513
142,........(.(((......))).)......((((...(((.......(((....)))...........))))))).,14,-5.108,2,0,0.000509
143,.......((.(((......)))...))...((((...(((.......(((....)))...........))))))).,15,-5.101,6,0,0.000503
144,.......((.(((.....).)).)).....((((...(((.......(((....)))...........))))))).,15,-5.101,3,0,0.000503
145,.......((.(((......))).))......................(((....)))..((............)).,10,-5.097,16,0,0.000499
146,.......((.(((......))).))...(((.......)))......(((....)))..........((...))..,13,-5.086,18,0,0.000491
147,.......((.(((......))).))..((((.......)))).....(((....)))...........(...)...,13,-5.086,19,0,0.000490
148,.......((.(((......))).)).....((((...(((....(..(((....)))...).......))))))).,16,-5.079,2,0,0.000485
149,.......((.(((......))).)).....((((..((.........(((....))).......)).....)))).,14,-5.067,9,0,0.000475
150,.......((.(((......))).)).....((((...(((.......(((....)))(......)...))))))).,16,-5.062,2,0,0.000471
151,.......((.(((......))).)).......(......).......(((....)))...................,9,-5.055,14,0,0.000465
152,.......((.(((......))).))......((.((....)).))..(((....))).....((.......))...,14,-5.04,22,0,0.000454
153,.......((.(((......))).))..((((.......))))...(((((....)))........)).........,14,-5.04,23,0,0.000454
154,.......((.(((......))).)).........((....)).....(((....))).....(.(...).).....,12,-5.037,20,0,0.000452
155,.......((.(((......))).)).....(((.(((.((......))..))).)))..........(.....)..,14,-5.034,28,0,0.000449
156,.......((.(((......))).))..((((.......)))).....(((....)))...(.....).........,13,-5.033,21,0,0.000449
157,...........((((....))))....((((.......)))).....(((....))).....(.(...).).....,13,-5.032,34,0,0.000448
158,.......((.(((......))).)).....((((...(((....(((..................)))))))))).,15,-5.029,12,0,0.000446
159,.......((.(((......))).))....((.......)).......(((....)))........(........).,11,-5.027,16,0,0.000444
160,.......((.(((......))).)).....((((...(((.........(....).((......))..))))))).,15,-5.027,7,0,0.000444
161,.......((..((......))..)).....((((...(((.......(((....)))...........))))))).,14,-5.027,2,0,0.000444
162,...(((.((.(((......))).)).....)))..........(((((((....)))........)))).......,15,-5.023,24,0,0.000441
163,.......((.(((......))).))..((((.......)))).....(((....))).....(.......).....,13,-5.021,20,0,0.000439
164,.......((.(((......))).)).....((((...((((......(((....))).........).))))))).,16,-5.014,2,0,0.000434
165,.......((.(((......))).)).....((((...(((....(..(((....)))....)......))))))).,16,-5.014,2,0,0.000434
166,.......((.(((......))).))......((.((....)).))..(((....)))..((............)).,14,-5.013,22,0,0.000434
167,.......((.(((......))).)).........((.....))....(((....)))...................,10,-5.008,18,0,0.000430
168,..........(((......)))........((((...(((....((((((....)))........)))))))))).,16,-5.006,10,0,0.000428
169,.......((.(((......))).)).....((((..((.........(((....)))............)))))).,14,-5.005,7,0,0.000427
170,.......((.(((......))).))....((.......)).....(((.((.................)).)))..,12,-5.002,24,0,0.000425
171,..........(((......)))........(((....(((.......(((....)))...........))).))).,12,-5.002,6,0,0.000425
172,.......((.((........)).))..((((.......)))).....(((....)))...................,11,-4.987,21,0,0.000415
173,.......((.(((......))).))......((..........))..(((....))).....(.(...).).....,12,-4.986,18,0,0.000414
