,Suboptimal proxy structure,Base pair,Energy (kcal/mol),MFE distance,AptaMat,Probability
128,...((((.(((....)))))))..(((....(((.((.....))((((......)))).))))))...,19,-6.487,14,0,0.000726
129,...((((((....))...))))..(((((...((.....))...((((......))))..)))))...,17,-6.482,9,0,0.000720
130,...((((.(((....)))))))..........((.....))...((((......))))..(...)...,14,-6.48,10,0,0.000718
131,...((((.(((....))))))).((((.....(((...)))...((((......))))....))))..,18,-6.48,8,0,0.000718
132,...(((..(((....))).)))......((....))........((((......))))..........,12,-6.476,19,0,0.000712
133,.(.((((...........))))..).......((.....))...((((......))))..........,11,-6.465,17,0,0.000699
134,...((((..(......).)))).((((((...((.....))...((((......))))..))))))..,17,-6.464,6,0,0.000699
135,...((((.(((....))))))).........(((.........((((........)))))))......,14,-6.462,20,0,0.000696
136,...((((...........))))..(((((...((.....))...(((........)))..)))))...,14,-6.461,8,0,0.000695
137,.(.((((..((....)).))))..).......(((...)))...((((......))))..........,14,-6.459,15,0,0.000692
138,...((((.((......))))))..........(((...)))...((((......))))..........,13,-6.458,14,0,0.000691
139,..(..((((....)))).).....(((((...((.....))...((((......))))..)))))...,16,-6.455,18,0,0.000688
140,...((((..((....)).))))..(((((...(((...)))...(((........)))..)))))...,17,-6.455,6,0,0.000688
141,...((((.(((....))))))).................((..(((((......)))))...))....,14,-6.445,16,0,0.000676
142,...((((..((....)).))))......((....))....(..(((((......)))))..)......,14,-6.441,21,0,0.000671
143,.(.((((..((....)).))))..)...((....))........((((......))))..........,13,-6.438,20,0,0.000668
144,...((((((....))))...))..........((.....))...((((......))))..........,12,-6.438,23,0,0.000668
145,...((((.((......))))))......((....))........((((......))))..........,12,-6.437,19,0,0.000668
146,...((((.(((....)))))))......(......)........((((......))))..........,12,-6.435,15,0,0.000665
147,...((((((....)))...)))..........((.....))...((((......))))..........,12,-6.424,21,0,0.000653
148,...((((.(((....))))))).((((((...((.....))....(((......)))...))))))..,18,-6.424,4,0,0.000652
149,......(((....)))........(((((...(((...)))...((((......))))..)))))...,15,-6.418,19,0,0.000646
150,...(((.............)))..(((((...(((...)))...((((......))))..)))))...,15,-6.415,10,0,0.000643
151,..(..((((....)))).)....((((((...(((...)))...((((......))))..))))))..,18,-6.396,22,0,0.000623
152,...((((.(((....)))))))..(((.(...((.....))...((((......))))..).)))...,17,-6.392,2,0,0.000619
153,...((((..((....)).)))).((((((...((.....))...(((........)))..))))))..,17,-6.391,6,0,0.000617
154,......(((....)))...(((.........)))..........((((......))))..........,10,-6.387,32,0,0.000613
155,...((((.(((....)))))))..........(((...)))...(((........)))..........,13,-6.384,14,0,0.000611
156,...((((.(((....)))))))..(((.................((((......))))....)))...,14,-6.383,8,0,0.000609
157,...((((.(((....)))))))..........(((...)))...((((......)))).((...))..,16,-6.382,14,0,0.000608
158,...((((.(((....)))))))..(...)...............((((......))))..........,12,-6.377,14,0,0.000603
159,...((((.(((....)))))))..........((.....))....(((......)))...........,12,-6.377,12,0,0.000603
160,...((((..((....)).))))...((.....))..........((((......))))..........,12,-6.376,16,0,0.000602
161,...((((...........))))..(((((......((.....))((((......))))..)))))...,15,-6.375,14,0,0.000601
162,...((((.(((....))))))).................(((.(((((......)))))....)))..,15,-6.37,18,0,0.000596
163,...((((..((....)).))))..(((((......(((...)))((((......))))..)))))...,18,-6.369,12,0,0.000595
164,...((((.(((....)))))))......(...........)...((((......))))..........,12,-6.366,14,0,0.000592
165,...((((.(((....))))))).((((((...(((...)))...(((.((...)))))..))))))..,21,-6.366,9,0,0.000592
166,...((((.(((....))))))).((((((...(((...)))...((((.(...)))))..))))))..,21,-6.366,6,0,0.000592
167,...((((.(((....)))))))......((....))........(((........)))..........,12,-6.364,19,0,0.000590
168,...((((.(((....)))))))......((....))........((((......)))).((...))..,15,-6.361,19,0,0.000587
169,...((((..((....)).))))..(((.....((.....))...((((......))))....)))...,15,-6.358,6,0,0.000584
170,...(((.............))).((((((...((.....))...((((......))))..))))))..,15,-6.351,10,0,0.000577
171,.....((((....))))....((((.......))))........((((......))))..........,12,-6.343,35,0,0.000570
172,...((((.(((....))))))).........((..((.....))((((......))))..))......,15,-6.34,19,0,0.000566
173,((.((((.(((....)))))))..)).....(((.........(((((......))))))))......,17,-6.328,20,0,0.000555
174,...((((...........))))..........((.....))...((((......))))...(....).,11,-6.321,17,0,0.000549
175,...((((.(((....)))))))..(((((..(...........)((((......))))..)))))...,17,-6.319,6,0,0.000547
176,...((((..((....)).))))..........(((...)))...((((......))))...(....).,14,-6.315,15,0,0.000543
177,...((((.(((....))))))).......(.(((.((.....))((((......)))).))).)....,17,-6.311,21,0,0.000539
178,...((((.(((....)))))))......((....))...((...((((......))))....))....,15,-6.306,17,0,0.000534
179,...((((..((....)).)))).((((((......((.....))((((......))))..))))))..,18,-6.305,12,0,0.000534
180,.(.((((...........))))..)......(((.........(((((......))))))))......,13,-6.303,25,0,0.000532
181,...((((.(((....))))))).............(((...)))((((......))))..........,14,-6.298,20,0,0.000528
182,...((((..((....)).))))......((....))........((((......))))...(....).,13,-6.294,20,0,0.000524
183,...((((((....))))...)).........(((.........(((((......))))))))......,14,-6.276,31,0,0.000509
184,...((((.(((....)))))))..........(((...)))...((((......)))).(.....)..,15,-6.276,14,0,0.000508
185,...((((..((....)).))))..(...)...((.....))...((((......))))..........,13,-6.276,12,0,0.000508
186,...((((...........))))......((.(((.........(((((......))))))))...)).,14,-6.275,27,0,0.000508
187,...((((.(((....)))))))..........(((...)))...((((......))))....(...).,15,-6.274,13,0,0.000507
188,...((((..((....)).)))).....(((.(((.........(((((......))))))))...))),17,-6.265,24,0,0.000499
189,...((((((....)))...))).........(((.........(((((......))))))))......,14,-6.263,29,0,0.000497
190,...((((.(((....))))))).....((...........))..((((......))))..........,13,-6.258,15,0,0.000493
191,...((((.(((....)))))))......((....))........((((......)))).(.....)..,14,-6.255,19,0,0.000491
192,...((((.(((....)))))))..((.((...((.....))...((((......))))..)).))...,17,-6.255,2,0,0.000491
193,...((((.(((....)))))))......((....))........((((......))))....(...).,14,-6.253,18,0,0.000489
194,.....((((....))))......((((((...((.....))...((((......))))..))))))..,16,-6.252,19,0,0.000488
195,((.((((.(((....)))))))..))......(((...)))...((((......))))..........,16,-6.251,14,0,0.000487
196,...((((.(((....)))))))..(((((...((.....))...((..((...)).))..)))))...,18,-6.249,7,0,0.000486
197,...((((.(((....)))))))..(((....(((.(((...)))((((......)))).))))))...,20,-6.248,16,0,0.000485
198,...((((..((....)).))))..(((((...((.....))...(((.((...)))))..)))))...,18,-6.244,7,0,0.000481
199,...((((..((....)).))))..(((((...((.....))...((((.(...)))))..)))))...,18,-6.244,4,0,0.000481
200,...((((((....))...))))..(((((...(((...)))...((((......))))..)))))...,18,-6.243,11,0,0.000481
201,...((((.(((....)))))))..........(((...)))...((((......))))..(...)...,15,-6.242,12,0,0.000480
202,...((((.(((....)))))))..(((((.((.(.((...............)).).)).)))))...,17,-6.24,19,0,0.000479
